event_name,stage,gender,venue,participant_code,participant_name,participant_country_code,position,result,result_type
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,4978819,HOWELL Davonte,CAY,1,10.31,TIME
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,1543943,MATSENJWA Sibusiso,SWZ,2,10.39,TIME
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,1564809,KIKI Didier,BEN,3,10.76,TIME
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,4674332,TOUMANDJI Herve,CAF,4,10.76,TIME
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,1564340,KANIWETE Kenaz,KIR,5,11.29,TIME
Men's 100m,Preliminary Round - Heat 2,M,Stade de France,1963004,PESIC Darko,MNE,6,11.85,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1552024,BIBI Gary Noa Jerrel,MRI,1,10.27,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1557220,BURRAJ Franko,ALB,2,10.6,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1566898,MUZRAPOV Favoris,TJK,3,10.6,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1965999,DIU Felix Chun Hei,HKG,4,10.62,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1967486,GARCIA Melique,HON,5,10.76,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1976100,GARDINER Rija Vatomanga,MAD,6,10.82,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,1541606,ATAIDE Manuel,TLS,7,11.35,TIME
Men's 100m,Preliminary Round - Heat 3,M,Stade de France,3539612,AL-YAFAEE Samer,YEM,8,11.54,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1533176,CAMARA Ebrahima,GAM,1,10.29,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1551159,FAHMI Muhd Azeem,MAS,2,10.42,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1572093,LOUIS Marc Brian,SGP,3,10.43,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1543197,NOOR ZAHI Sha Mahmood,AFG,4,10.64,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1564230,CAMARA Seco,GBS,5,10.76,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1944598,REED William,MHL,6,11.29,TIME
Men's 100m,Preliminary Round - Heat 1,M,Stade de France,1897299,MAIBUCA Karalo Hepoiteloto,TUV,7,11.3,TIME
Men's 100m,Preliminary Round - Heat 5,M,Stade de France,1536925,HARRIS Naquille,SKN,1,10.33,TIME
Men's 100m,Preliminary Round - Heat 5,M,Stade de France,1936309,ZOHRI Lalu Muhammad,INA,2,10.35,TIME
Men's 100m,Preliminary Round - Heat 5,M,Stade de France,1966034,MULAMBA Dominique Lasconi,COD,3,10.54,TIME
