code,name,gender,country_code,events,birth_date,coach
1532872,ALEKSANYAN Artur,M,ARM,"[""Men's Greco-Roman 97kg""]",21/10/1991,Gevorg Aleksanyan (ARM)father
1532873,AMOYAN Malkhas,M,ARM,"[""Men's Greco-Roman 77kg""]",22/1/1999,
1532874,GALSTYAN Slavik,M,ARM,"[""Men's Greco-Roman 67kg""]",21/12/1996,Personal: Martin Alekhanyan (ARM).<br>National: Armen Babalaryan (ARM)
1532944,HARUTYUNYAN Arsen,M,ARM,"[""Men's Freestyle 57kg""]",22/11/1999,National: Habetnak Kurghinyan
1532945,TEVANYAN Vazgen,M,ARM,"[""Men's Freestyle 65kg""]",27/10/1999,National: Habetnak Kurghinyan (ARM)
1532951,ARENAS Lorena,F,COL,"[""Women's 20km Race Walk"" 'Marathon Race Walk Relay Mixed']",17/9/1993,Personal: Brent Vallance (AUS)
1533112,McKENZIE Ashley,M,JAM,['Men -60 kg'],17/7/1989,Personal and National: Luke Preston (GBR)
1533136,BASS BITTAYE Gina Mariam,F,GAM,"[""Women's 100m"" ""Women's 200m""]",3/5/1995,Personal: Christophe Belliard (FRA)
1533176,CAMARA Ebrahima,M,GAM,"[""Men's 100m""]",18/9/1996,Personal: Christophe Belliard (FRA)
1533188,RUEDA SANTOS Lizeth,F,MEX,"[""Women's Individual""]",7/3/1994,Personal: Eugenio Chimal (MEX)
1533189,TAPIA VIDAL Rosa Maria,F,MEX,"[""Women's Individual""]",27/8/1997,Luis Miguel Chï¿½ï¿½ï¿½ï¿½ï
1533190,GRAJALES Crisanto,M,MEX,"[""Men's Individual""]",6/5/1987,Personal: Eugenio Chimal (MEX)
1533208,MAAROUFOU Hachim,M,COM,"[""Men's 100m""]",13/2/1997,Personal: Franck Ne (FRA)
1533209,SAADI Maesha,F,COM,"[""Women's 50m Freestyle""]",16/1/2007,Personal: Marc-Olivier Froger
1533230,DIOSDADO Nuria,F,MEX,['Team' 'Duet'],22/8/1990,National: Adriana Loftus (MEX)
1533231,JIMENEZ Joana,F,MEX,['Team' 'Duet'],19/8/1993,National: Adriana Loftus (MEX)
1533232,SOBRINO Jessica,F,MEX,['Team'],26/5/1994,National: Adriana Loftus (MEX)
1533234,ALFEREZ Regina,F,MEX,['Team'],1/12/1997,National: Adriana Loftus (MEX)
1533235,ARELLANO Fernanda,F,MEX,['Team'],28/2/2002,National: Adriana Loftus (MEX)
1533237,TOSCANO Pamela,F,MEX,['Team'],13/1/2000,National: Adriana Loftus (MEX)
1533239,GONZALEZ Itzamary,F,MEX,['Team'],14/11/2003,National: Adriana Loftus (MEX)
1533240,RODRIGUEZ Samanta,F,MEX,['Team'],5/12/1994,National: Adriana Loftus (MEX)
1533243,INZUNZA Glenda,F,MEX,['Team'],12/3/2000,
1533245,SEHEN Sajjad,M,IRQ,['Men -81 kg'],8/3/1996,
1533359,RUBAIAWI Ali Ammar Yusur,M,IRQ,"[""Men's +102kg""]",2/8/2004,
1533364,ISMAIL Mohamed,M,DJI,"[""Men's 5000m""]",1/1/1997,Personal: Hussein Shibo (ETH)
1533371,HASSAN Ibrahim,M,DJI,"[""Men's Marathon""]",1/1/1997,
1533372,WAISS Abdi,M,DJI,"[""Men's 5000m""]",3/7/1996,Personal: Hussein Shibo (ETH)
1533374,HASSAN NOUR Samiyah,F,DJI,"[""Women's 5000m""]",5/12/1999,Personal: Hussein Shibo (ETH)
1533378,HOUSSEIN BARKAT Houmed,M,DJI,"[""Men's 50m Freestyle""]",4/4/2004,
1535180,BARAT Andy,M,COM,"[""Men's Kayak Single"" ""Men's Kayak Cross""]",29/11/1997,Personal: Lukas Jacob
1535186,MARTINEZ RAMIREZ Miguel Angel,M,MEX,"[""Men's 63.5kg""]",17/3/2001,
1535187,VERDE ALVAREZ Marco Alonso,M,MEX,"[""Men's 71kg""]",11/2/2002,Personal: Radames Hernandez (MEX)
1535191,GONZALEZ Alegna,F,MEX,"[""Women's 20km Race Walk"" 'Marathon Race Walk Relay Mixed']",2/1/1999,Personal: Ignacio Zamudio (MEX)1996 Olympian
1535195,LOPEZ Jesus Tonatiu,M,MEX,"[""Men's 800m""]",2/8/1997,Personal: Conrado Soto (MEX)
1535199,PORTILLO Erick,M,MEX,"[""Men's High Jump""]",5/10/2000,Personal: Lazaro Paz (CUB)
1535201,MUNOZ Uziel,M,MEX,"[""Men's Shot Put""]",8/9/1995,Personal: Alejandro Laberdesque (CUB)
1535202,del REAL Diego,M,MEX,"[""Men's Hammer Throw""]",6/3/1994,Personal: Alejandro Laberdesque (CUB)
1535203,DOCTOR Jose Luis,M,MEX,"[""Men's 20km Race Walk""]",14/6/1996,Personal: Raul Gonzalez (MEX)four-time Olympian and two-time 1984 Olympic race walk medallist
1535212,MORAN Paola,F,MEX,"[""Women's 400m""]",25/2/1997,Personal: Luis Montes Leon (MEX)
1535214,GALVAN Laura,F,MEX,"[""Women's 5000m""]",5/10/1991,Personal: Cecilio Blancarte (MEX)
1535216,CORTES Alma Delia,F,MEX,"[""Women's 5000m""]",26/12/1997,Personal: Martin Nunez (MEX)
1535217,CRISTIAN MOSCOTE Citlali,F,MEX,"[""Women's Marathon""]",15/4/1995,Personal: Cristobal Herrera (MEX)
1535222,PALMA OLIVARES Ever Jair,M,MEX,['Marathon Race Walk Relay Mixed'],18/3/1992,Personal: Adrian Palma (MEX) his brother
1535225,OETLING RAMIREZ Elena,F,MEX,"[""Women's Dinghy""]",18/4/1993,Tania Elï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿
1535226,AGUILAR CHAVEZ PEON Mariana,F,MEX,"[""Women's Windsurfing""]",12/3/1999,Personal: Marisa Chavez Peon
1535252,LECHUGA ALANIS Kenia,F,MEX,"[""Women's Single Sculls""]",26/6/1994,
1535260,LOPEZ GARCIA Alexis,M,MEX,"[""Lightweight Men's Double Sculls""]",1/5/1997,
1535267,CARBALLO NIETO Miguel,M,MEX,"[""Lightweight Men's Double Sculls""]",8/7/1992,
1535310,BLANCO Luisa,F,COL,"['Women' ""Women's All-Around"" ""Women's Balance Beam"" ""Women's Floor Exercise"" ""Women's Uneven Bars"" ""Women's Vault""]",18/11/2001,Personal: Ashley Johnson (USA).<br>National: Diego Medina
1535343,WILLARS VALDEZ Randal,M,MEX,"[""Men's 10m Platform"" ""Men's Synchronised 10m Platform""]",30/4/2002,Shi Qingying (CHN)
1535345,BERLIN REYES Kevin,M,MEX,"[""Men's 10m Platform"" ""Men's Synchronised 10m Platform""]",25/4/2001,
1535346,OROZCO LOZA Alejandra,F,MEX,"[""Women's 10m Platform"" ""Women's Synchronised 10m Platform""]",19/4/1997,
1535348,AGUNDEZ GARCIA Gabriela,F,MEX,"[""Women's 10m Platform"" ""Women's Synchronised 10m Platform""]",4/8/2000,
1535349,OLVERA IBARRA Osmar,M,MEX,"[""Men's 3m Springboard"" ""Men's Synchronised 3m Springboard""]",5/6/2004,
