medal_type,medal_code,name,gender,discipline,event,code,country_code
Gold Medal,1,Remco EVENEPOEL,M,Cycling Road,Men's Individual Time Trial,1903136,BEL
Silver Medal,2,Filippo GANNA,M,Cycling Road,Men's Individual Time Trial,1923520,ITA
Bronze Medal,3,Wout van AERT,M,Cycling Road,Men's Individual Time Trial,1903147,BEL
Gold Medal,1,Grace BROWN,F,Cycling Road,Women's Individual Time Trial,1940173,AUS
Silver Medal,2,Anna HENDERSON,F,Cycling Road,Women's Individual Time Trial,1912525,GBR
Bronze Medal,3,Chloe DYGERT,F,Cycling Road,Women's Individual Time Trial,1955079,USA
Gold Medal,1,China,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-CHN01,CHN
Silver Medal,2,United States,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-USA01,USA
Bronze Medal,3,Great Britain,F,Diving,Women's Synchronised 3m Springboard,DIVW3MTEAM2-GBR01,GBR
Gold Medal,1,OH Sanguk,M,Fencing,Men's Sabre Individual,1927149,KOR
Silver Medal,2,Fares FERJANI,M,Fencing,Men's Sabre Individual,1937783,TUN
Bronze Medal,3,Luigi SAMELE,M,Fencing,Men's Sabre Individual,1924595,ITA
Gold Medal,1,KONG Man Wai Vivian,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1963262,HKG
Silver Medal,2,Auriane MALLO-BRETON,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1916183,FRA
Bronze Medal,3,Eszter MUHARI,F,Fencing,Women's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1946375,HUN
Gold Medal,1,Yeldos SMETOV,M,Judo,Men -60 kg,1935408,KAZ
Silver Medal,2,Luka MKHEIDZE,M,Judo,Men -60 kg,1891304,FRA
Bronze Medal,3,NAGAYAMA Ryuju,M,Judo,Men -60 kg,1896752,JPN
Bronze Medal,3,Francisco GARRIGOS,M,Judo,Men -60 kg,1563544,ESP
Gold Medal,1,TSUNODA Natsumi,F,Judo,Women -48 kg,1896735,JPN
Silver Medal,2,Baasankhuu BAVUUDORJ,F,Judo,Women -48 kg,1914467,MGL
Bronze Medal,3,Shirine BOUKLI,F,Judo,Women -48 kg,1891280,FRA
Bronze Medal,3,Tara BABULFATH,F,Judo,Women -48 kg,1571911,SWE
Gold Medal,1,France,M,Rugby Sevens,Men,RU7MTEAM7---FRA01,FRA
Silver Medal,2,Fiji,M,Rugby Sevens,Men,RU7MTEAM7---FIJ01,FIJ
Bronze Medal,3,South Africa,M,Rugby Sevens,Men,RU7MTEAM7---RSA01,RSA
Gold Medal,1,China 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----CHN01,CHN
Silver Medal,2,Korea 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----KOR01,KOR
Bronze Medal,3,Kazakhstan 1,X,Shooting,10m Air Rifle Mixed Team,SHOXARMT----KAZ01,KAZ
Gold Medal,1,United States,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRUSA01,USA
Silver Medal,2,Australia,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRAUS01,AUS
Bronze Medal,3,Italy,M,Swimming,Men's 4 x 100m Freestyle Relay,SWMM4X100MFRITA01,ITA
Gold Medal,1,Lukas MAERTENS,M,Swimming,Men's 400m Freestyle,1907192,GER
Silver Medal,2,Elijah WINNINGTON,M,Swimming,Men's 400m Freestyle,1946172,AUS
Bronze Medal,3,KIM Woomin,M,Swimming,Men's 400m Freestyle,4654306,KOR
Gold Medal,1,Australia,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRAUS01,AUS
Silver Medal,2,United States,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRUSA01,USA
Bronze Medal,3,China,F,Swimming,Women's 4 x 100m Freestyle Relay,SWMW4X100MFRCHN01,CHN
Gold Medal,1,Ariarne TITMUS,F,Swimming,Women's 400m Freestyle,1946150,AUS
Silver Medal,2,Summer McINTOSH,F,Swimming,Women's 400m Freestyle,1967140,CAN
Bronze Medal,3,Katie LEDECKY,F,Swimming,Women's 400m Freestyle,1935938,USA
Gold Medal,1,Korea,F,Archery,Women's Team,ARCWTEAM3---KOR01,KOR
Silver Medal,2,China,F,Archery,Women's Team,ARCWTEAM3---CHN01,CHN
Bronze Medal,3,Mexico,F,Archery,Women's Team,ARCWTEAM3---MEX01,MEX
Gold Medal,1,Jessica FOX,F,Canoe Slalom,Women's Kayak Single,1940205,AUS
Silver Medal,2,Klaudia ZWOLINSKA,F,Canoe Slalom,Women's Kayak Single,1942126,POL
Bronze Medal,3,Kimberley WOODS,F,Canoe Slalom,Women's Kayak Single,1896045,GBR
Gold Medal,1,Pauline FERRAND PREVOT,F,Cycling Mountain Bike,Women's Cross-country,1895672,FRA
Silver Medal,2,Haley BATTEN,F,Cycling Mountain Bike,Women's Cross-country,1955070,USA
Bronze Medal,3,Jenny RISSVEDS,F,Cycling Mountain Bike,Women's Cross-country,1564023,SWE
Gold Medal,1,KANO Koki,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1896548,JPN
Silver Medal,2,Yannick BOREL,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1916194,FRA
Bronze Medal,3,Mohamed ELSAYED,M,Fencing,Men's ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1936462,EGY
Gold Medal,1,Lee KIEFER,F,Fencing,Women's Foil Individual,1950611,USA
Silver Medal,2,Lauren SCRUGGS,F,Fencing,Women's Foil Individual,1950643,USA
Bronze Medal,3,Eleanor HARVEY,F,Fencing,Women's Foil Individual,1973213,CAN
Gold Medal,1,ABE Hifumi,M,Judo,Men -66 kg,1896763,JPN
Silver Medal,2,Willian LIMA,M,Judo,Men -66 kg,1953840,BRA
Bronze Medal,3,Gusman KYRGYZBAYEV,M,Judo,Men -66 kg,1935410,KAZ
Bronze Medal,3,Denis VIERU,M,Judo,Men -66 kg,1561138,MDA
Gold Medal,1,Diyora KELDIYOROVA,F,Judo,Women -52 kg,1566997,UZB
Silver Medal,2,Distria KRASNIQI,F,Judo,Women -52 kg,1550162,KOS
Bronze Medal,3,Larissa PIMENTA,F,Judo,Women -52 kg,1953817,BRA
Bronze Medal,3,Amandine BUCHARD,F,Judo,Women -52 kg,1891283,FRA
Gold Medal,1,XIE Yu,M,Shooting,10m Air Pistol Men,1913907,CHN
Silver Medal,2,Federico Nilo MALDINI,M,Shooting,10m Air Pistol Men,1551388,ITA
Bronze Medal,3,Paolo MONNA,M,Shooting,10m Air Pistol Men,1551387,ITA
Gold Medal,1,OH Ye Jin,F,Shooting,10m Air Pistol Women,1893972,KOR
Silver Medal,2,KIM Yeji,F,Shooting,10m Air Pistol Women,1893930,KOR
Bronze Medal,3,Manu BHAKER,F,Shooting,10m Air Pistol Women,1538159,IND
Gold Medal,1,YOSHIZAWA Coco,F,Skateboarding,Women's Street,1902055,JPN
Silver Medal,2,AKAMA Liz,F,Skateboarding,Women's Street,1902069,JPN
Bronze Medal,3,Rayssa LEAL,F,Skateboarding,Women's Street,1955689,BRA
Gold Medal,1,Nicolo MARTINENGHI,M,Swimming,Men's 100m Breaststroke,1925633,ITA
Silver Medal,2,Adam PEATY,M,Swimming,Men's 100m Breaststroke,1956469,GBR
Silver Medal,2,Nic FINK,M,Swimming,Men's 100m Breaststroke,1935901,USA
Gold Medal,1,Leon MARCHAND,M,Swimming,Men's 400m Individual Medley,1909294,FRA
Silver Medal,2,MATSUSHITA Tomoyuki,M,Swimming,Men's 400m Individual Medley,1963635,JPN
Bronze Medal,3,Carson FOSTER,M,Swimming,Men's 400m Individual Medley,1935903,USA
Gold Medal,1,Torri HUSKE,F,Swimming,Women's 100m Butterfly,1935923,USA
Silver Medal,2,Gretchen WALSH,F,Swimming,Women's 100m Butterfly,1935998,USA
Bronze Medal,3,ZHANG Yufei,F,Swimming,Women's 100m Butterfly,1945125,CHN
Gold Medal,1,Korea,M,Archery,Men's Team,ARCMTEAM3---KOR01,KOR
Silver Medal,2,France,M,Archery,Men's Team,ARCMTEAM3---FRA01,FRA
Bronze Medal,3,Tï¿½ï¿½ï,M,Archery,Men's Team,ARCMTEAM3---TUR01,TUR
Gold Medal,1,Japan,M,Artistic Gymnastics,Men's Team,GARMTEAM----JPN01,JPN
Silver Medal,2,China,M,Artistic Gymnastics,Men's Team,GARMTEAM----CHN01,CHN
Bronze Medal,3,United States,M,Artistic Gymnastics,Men's Team,GARMTEAM----USA01,USA
Gold Medal,1,Nicolas GESTIN,M,Canoe Slalom,Men's Canoe Single,1880479,FRA
Silver Medal,2,Adam BURGESS,M,Canoe Slalom,Men's Canoe Single,1896030,GBR
Bronze Medal,3,Matej BENUS,M,Canoe Slalom,Men's Canoe Single,1961080,SVK
Gold Medal,1,Thomas PIDCOCK,M,Cycling Mountain Bike,Men's Cross-country,1912546,GBR
Silver Medal,2,Victor KORETZKY,M,Cycling Mountain Bike,Men's Cross-country,1895687,FRA
Bronze Medal,3,Alan HATHERLY,M,Cycling Mountain Bike,Men's Cross-country,1943604,RSA
Gold Medal,1,China,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2CHN01,CHN
Silver Medal,2,Great Britain,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2GBR01,GBR
Bronze Medal,3,Canada,M,Diving,Men's Synchronised 10m Platform,DIVM10MTEAM2CAN01,CAN
Gold Medal,1,Michael JUNG,O,Equestrian,Eventing Individual,1914921,GER
Silver Medal,2,Christopher BURTON,O,Equestrian,Eventing Individual,1940438,AUS
Bronze Medal,3,Laura COLLETT,O,Equestrian,Eventing Individual,1970898,GBR
Gold Medal,1,Great Britain,O,Equestrian,Eventing Team,EQUOEVENTEAMGBR01,GBR
Silver Medal,2,France,O,Equestrian,Eventing Team,EQUOEVENTEAMFRA01,FRA
Bronze Medal,3,Japan,O,Equestrian,Eventing Team,EQUOEVENTEAMJPN01,JPN
Gold Medal,1,CHEUNG Ka Long,M,Fencing,Men's Foil Individual,1963245,HKG
Silver Medal,2,Filippo MACCHI,M,Fencing,Men's Foil Individual,1924289,ITA
Bronze Medal,3,Nick ITKIN,M,Fencing,Men's Foil Individual,1950602,USA
Gold Medal,1,Manon APITHY-BRUNET,F,Fencing,Women's Sabre Individual,1916223,FRA
Silver Medal,2,Sara BALZER,F,Fencing,Women's Sabre Individual,1916222,FRA
Bronze Medal,3,Olga KHARLAN,F,Fencing,Women's Sabre Individual,1897644,UKR
Gold Medal,1,Hidayat HEYDAROV,M,Judo,Men -73 kg,1972337,AZE
Silver Medal,2,Joan-Benjamin GABA,M,Judo,Men -73 kg,1891311,FRA
Bronze Medal,3,Adil OSMANOV,M,Judo,Men -73 kg,1563437,MDA
Bronze Medal,3,HASHIMOTO Soichi,M,Judo,Men -73 kg,1896740,JPN
Gold Medal,1,Christa DEGUCHI,F,Judo,Women -57 kg,1955526,CAN
Silver Medal,2,HUH Mimi,F,Judo,Women -57 kg,1928067,KOR
Bronze Medal,3,FUNAKUBO Haruka,F,Judo,Women -57 kg,1896733,JPN
Bronze Medal,3,Sarah Leonie CYSIQUE,F,Judo,Women -57 kg,1891286,FRA
Gold Medal,1,SHENG Lihao,M,Shooting,10m Air Rifle Men,1913899,CHN
