venue,sports,date_start,date_end
Aquatics Centre,"['Artistic Swimming', 'Diving', 'Water Polo']",27/7/2024,10/8/2024
Bercy Arena,"['Artistic Gymnastics', 'Basketball', 'Trampoline']",27/7/2024,11/8/2024
Bordeaux Stadium,['Football'],25/7/2024,2/8/2024
Champ de Mars Arena,"['Judo', 'Wrestling']",27/7/2024,11/8/2024
Chï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,"['Equestrian', 'Modern Pentathlon']",27/7/2024,11/8/2024
Chateauroux Shooting Centre,['Shooting'],27/7/2024,5/8/2024
Eiffel Tower Stadium,['Beach Volleyball'],27/7/2024,10/8/2024
Elancourt Hill,['Cycling Mountain Bike'],28/7/2024,29/7/2024
Geoffroy-Guichard Stadium,['Football'],25/7/2024,31/7/2024
Grand Palais,"['Fencing', 'Taekwondo']",27/7/2024,10/8/2024
Hï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,['Athletics'],10/8/2024,11/8/2024
Invalides,"['Archery', 'Athletics', 'Cycling Road']",25/7/2024,4/8/2024
La Beaujoire Stadium,['Football'],25/7/2024,8/8/2024
La Concorde,"['3x3 Basketball', 'Breaking', 'Cycling BMX Freestyle', 'Skateboarding']",27/7/2024,10/8/2024
Le Bourget Sport Climbing Venue,['Sport Climbing'],5/8/2024,10/8/2024
Golf National,['Golf'],1/8/2024,10/8/2024
Lyon Stadium,['Football'],25/7/2024,9/8/2024
Marseille Marina,['Sailing'],28/7/2024,8/8/2024
Marseille Stadium,['Football'],25/7/2024,6/8/2024
Nice Stadium,['Football'],25/7/2024,31/8/2024
North Paris Arena,"['Boxing', 'Modern Pentathlon']",27/7/2024,8/8/2024
Parc des Princes,['Football'],25/7/2024,10/8/2024
Paris La Defense Arena,"['Swimming', 'Water Polo']",27/7/2024,11/8/2024
Pierre Mauroy Stadium,"['Basketball', 'Handball']",27/7/2024,11/8/2024
Pont Alexandre III,"['Cycling Road', 'Marathon Swimming', 'Triathlon']",30/7/2024,9/8/2024
Porte de La Chapelle Arena,"['Badminton', 'Rhythmic Gymnastics']",27/7/2024,10/8/2024
Stade Roland-Garros,"['Boxing', 'Tennis']",27/7/2024,10/8/2024
Saint-Quentin-en-Yvelines BMX Stadium,['Cycling BMX Racing'],1/8/2024,2/8/2024
Saint-Quentin-en-Yvelines Velodrome,['Cycling Track '],5/8/2024,11/8/2024
South Paris Arena,"['Handball', 'Table Tennis', 'Volleyball', 'Weightlifting']",25/7/2024,11/8/2024
Stade de France,"['Athletics', 'Rugby Sevens']",24/7/2024,10/8/2024
"Teahupo'o, Tahiti",['Surfing'],27/7/2024,31/7/2024
Trocadï¿½ï¿½ï¿,"['Athletics', 'Cycling Road']",1/8/2024,7/8/2024
Vaires-sur-Marne Nautical Stadium,"['Canoe Slalom', 'Canoe Sprint', 'Rowing']",1/8/2024,7/8/2024
Yves-du-Manoir Stadium,['Hockey'],27/7/2024,9/8/2024
